gameCover	gameGenre	gamePhrase	gamePlatform	gameRating	gameReview	gameTitle	gameCoverID
http://media.ign.com/games/image/object/136/136308/Transformers-Prime_WiiU_US_ESRBboxart_160h.jpg	Action	Good	Wii U	7.8	http://www.ign.com/articles/2012/11/28/transformers-prime-the-game-wii-u-review	Transformers Prime	375
http://wirelessmedia.ign.com/wireless/image/object/136/136146/fifasoccer13wiiu1boxart_160h.jpg	Sports	Okay	Wii U	6.0	http://www.ign.com/articles/2012/11/27/fifa-13-wii-u-review	FIFA Soccer 13	376
http://assets1.ignimgs.com/2017/02/16/little-inferno-button-w-1487280095778_160h.jpg	Puzzle	Mediocre	Wii U	5.0	http://www.ign.com/articles/2012/11/26/little-inferno-pc-review	Little Inferno	377
http://comicsmedia.ign.com/comics/image/object/135/135737/Trine-2-Directors-Cut_nWii-U_16x9VER-v0boxart_160h.jpg	Action	Amazing	Wii U	9.0	http://www.ign.com/articles/2012/11/26/trine-2-directors-cut-review	Trine 2: Director's Cut	378
http://comicsmedia.ign.com/comics/image/object/135/135575/Chasing-Aurora_v2_nWii-U_16x9VER-v0boxart_160h.jpg	Action	Okay	Wii U	6.0	http://www.ign.com/articles/2012/11/22/chasing-aurora-review	Chasing Aurora	379
http://media.ign.com/games/image/object/128/128099/Madden-NFL-13_WII_US_RPboxart_160h.jpg	Sports	Great	Wii	8.3	http://www.ign.com/articles/2012/11/21/madden-nfl-13-wii-u-review	Madden NFL 13	380
http://media.ign.com/games/image/object/135/135743/Mass-Effect-3_WiiU_US_ESRBboxart_160h.jpg	RPG	Amazing	Wii U	9.5	http://www.ign.com/articles/2012/11/21/mass-effect-3-wii-u-review	Mass Effect 3 (Special Edition)	381
http://xbox360media.ign.com/xbox360/image/object/110/110845/rabbids_landwiiuyar1boxart_160h.jpg	Party	Mediocre	Wii U	5.0	http://www.ign.com/articles/2012/11/21/rabbids-land-review	Rabbids Land	382
http://media.ign.com/games/image/object/110/110858/Madden-NFL-13_WiiU_US_ESRBboxart_160h.jpg	Sports	Great	Wii U	8.3	http://www.ign.com/articles/2012/11/21/madden-nfl-13-wii-u-review	Madden NFL 13	383
http://media.ign.com/games/image/object/110/110807/Tekken-Tag-Tournament-2-Wii-U-Edition_US_ESRB_WiiUboxart_160h.jpg	Fighting	Good	Wii U	7.5	http://www.ign.com/articles/2012/11/21/tekken-tag-tournament-2-wii-u-edition-review	Tekken Tag Tournament 2: Wii U Edition	384
http://media.ign.com/games/image/object/136/136081/Call-of-Duty-Black-Ops-II_WiiU_US_ESRBboxart_160h.jpg	Shooter	Amazing	Wii U	9.3	http://www.ign.com/articles/2012/11/21/call-of-duty-black-ops-2-wii-u-review	Call of Duty: Black Ops II	385
http://xbox360media.ign.com/xbox360/image/object/110/110823/AC3_WiiU_BXSHT_1boxart_160h.jpg	Action,Adventure	Great	Wii U	8.5	http://www.ign.com/articles/2012/11/20/assassins-creed-iii-wii-u-review	Assassin's Creed III	386
http://comicsmedia.ign.com/comics/image/object/142/142952/Nano-Assault-Neo_nWii-U_16x9VER-v0boxart_160h.jpg	Shooter	Amazing	Wii U	9.0	http://www.ign.com/articles/2012/11/20/nano-assault-neo-review	Nano Assault Neo	387
http://wiimedia.ign.com/wii/image/object/135/135328/nbk2013wiiu01boxart_160h.jpg	Sports	Amazing	Wii U	9.1	http://www.ign.com/articles/2012/11/19/nba-2k13-wii-u-review	NBA 2K13	388
