EU	GL	JP	NA	OT	genre	platform	pub	title	year	mGame
9.24	21.28	0.99	7.06	4.0	Action	PS3	Take-Two Interactive	Grand Theft Auto V	2013	1
5.73	13.8	0.65	4.99	2.42	Shooter	PS3	Activision	Call of Duty: Black Ops II	2012	1
5.73	13.32	0.49	5.54	1.57	Shooter	PS3	Activision	Call of Duty: Modern Warfare 3	2011	1
4.37	12.65	0.48	6.01	1.8	Shooter	PS3	Activision	Call of Duty: Black Ops	2010	1
4.82	10.7	0.81	2.96	2.11	Racing	PS3	Sony Computer Entertainment	Gran Turismo 5	2010	1
3.64	10.6	0.38	4.99	1.6	Shooter	PS3	Activision	Call of Duty: Modern Warfare 2	2009	1
3.7	10.52	0.44	4.78	1.61	Action	PS3	Take-Two Interactive	Grand Theft Auto IV	2008	1
3.63	9.38	0.39	4.11	1.26	Shooter	PS3	Activision	Call of Duty: Ghosts	2013	1
5.01	8.17	0.13	1.07	1.97	Action	PS3	Electronic Arts	FIFA Soccer 13	2012	1
2.89	7.18	0.35	2.86	1.09	Shooter	PS3	Electronic Arts	Battlefield 3	2011	1
2.75	6.74	0.19	2.77	1.03	Action	PS3	Sony Computer Entertainment	Uncharted 3: Drake's Deception	2011	1
2.26	6.7	0.28	3.12	1.03	Shooter	PS3	Activision	Call of Duty 4: Modern Warfare	2007	1
2.2	6.68	0.21	3.28	0.98	Action	PS3	Sony Computer Entertainment	Uncharted 2: Among Thieves	2009	1
4.3	6.65	0.11	0.84	1.4	Sports	PS3	Electronic Arts	FIFA 12	2011	1
2.53	6.52	0.17	2.81	1.0	Action	PS3	Take-Two Interactive	Red Dead Redemption	2010	1
4.24	6.48	0.07	0.79	1.38	Sports	PS3	Electronic Arts	FIFA 14	2013	1
2.52	6.46	0.16	2.65	1.12	Action	PS3	Ubisoft	Assassin's Creed III	2012	1
2.61	6.42	0.25	2.56	1.0	Role-Playing	PS3	Bethesda Softworks	The Elder Scrolls V: Skyrim	2011	1
1.71	5.99	0.83	2.63	0.82	Action	PS3	Konami Digital Entertainment	Metal Gear Solid 4: Guns of the Patriots	2008	1
2.2	5.9	0.29	2.41	0.99	Action	PS3	Sony Computer Entertainment Europe	The Last of Us	2013	1
1.98	5.82	0.17	2.8	0.87	Platform	PS3	Sony Computer Entertainment	LittleBigPlanet	2008	1
2.52	5.57	0.0	2.14	0.92	Misc	PS3	Sony Computer Entertainment	Minecraft	2014	1
1.93	5.55	0.21	2.54	0.86	Action	PS3	Ubisoft	Assassin's Creed II	2009	1
1.85	5.49	0.11	2.72	0.81	Action	PS3	Warner Bros. Interactive Entertainment	Batman: Arkham City	2011	1
1.83	5.41	0.0	2.74	0.84	Shooter	PS3	Activision	Call of Duty: World at War	2008	1
1.21	5.34	1.87	1.75	0.51	Role-Playing	PS3	Square Enix	Final Fantasy XIII	2009	1
1.41	5.09	1.08	1.96	0.64	Action	PS3	Capcom	Resident Evil 5	2009	1
3.28	5.07	0.06	0.61	1.12	Sports	PS3	Electronic Arts	FIFA Soccer 11	2010	1
1.72	4.93	0.12	2.32	0.77	Action	PS3	Sony Computer Entertainment	Uncharted: Drake's Fortune	2007	1
2.0	4.82	0.09	1.91	0.82	Adventure	PS3	Ubisoft	Assassin's Creed	2007	1
1.34	4.81	0.12	2.74	0.61	Action	PS3	Sony Computer Entertainment	God of War III	2010	1
1.93	4.4	0.2	1.58	0.69	Shooter	PS3	Activision	Call of Duty: Advanced Warfare	2014	1
1.72	4.35	0.14	1.74	0.75	Shooter	PS3	Sony Computer Entertainment	Resistance: Fall of Man	2006	1
3.02	4.29	0.04	0.59	0.64	Sports	PS3	Electronic Arts	FIFA 15	2014	1
1.31	4.25	0.07	2.25	0.62	Action	PS3	Eidos Interactive	Batman: Arkham Asylum	2009	1
2.01	4.22	0.1	1.41	0.7	Action	PS3	Ubisoft	Assassin's Creed: Revelations	2011	1
1.82	4.19	0.57	1.28	0.52	Racing	PS3	Sony Computer Entertainment	Gran Turismo 5 Prologue	2007	1
1.04	4.18	0.59	2.04	0.52	Fighting	PS3	Capcom	Street Fighter IV	2009	1
1.13	3.96	0.07	2.16	0.59	Role-Playing	PS3	Bethesda Softworks	Fallout 3	2008	1
1.6	3.87	0.06	1.53	0.67	Racing	PS3	Sony Computer Entertainment	MotorStorm	2006	1
1.12	3.86	0.1	2.14	0.5	Sports	PS3	Sony Computer Entertainment	Sports Champions	2010	1
1.69	3.73	0.13	1.34	0.57	Action	PS3	Ubisoft	Assassin's Creed IV: Black Flag	2013	1
2.45	3.62	0.05	0.6	0.52	Sports	PS3	Electronic Arts	FIFA Soccer 10	2009	1
1.42	3.5	0.27	1.31	0.5	Shooter	PS3	Electronic Arts	Battlefield 4	2013	1
1.05	3.41	0.06	1.83	0.46	Platform	PS3	Sony Computer Entertainment	LittleBigPlanet 2	2011	1
1.7	3.35	0.1	0.88	0.67	Shooter	PS3	Ubisoft	Far Cry 3	2012	1
1.7	3.32	0.41	0.76	0.46	Racing	PS3	Sony Computer Entertainment	Gran Turismo 6	2013	1
1.29	3.19	0.12	1.28	0.5	Adventure	PS3	Take-Two Interactive	L.A. Noire	2011	1
1.03	3.13	0.1	1.53	0.46	Role-Playing	PS3	Bethesda Softworks	Fallout: New Vegas	2010	1
0.85	3.1	0.14	1.69	0.43	Role-Playing	PS3	Ubisoft	The Elder Scrolls IV: Oblivion	2007	1
0.94	3.1	0.88	0.88	0.4	Shooter	PS3	Capcom	Resident Evil 6	2012	1
1.21	3.03	0.06	1.29	0.47	Adventure	PS3	Sony Computer Entertainment	Heavy Rain	2010	1
1.06	3.01	0.08	1.4	0.47	Shooter	PS3	Sony Computer Entertainment	Killzone 2	2009	1
1.1	2.95	0.08	1.33	0.44	Shooter	PS3	Electronic Arts	Battlefield: Bad Company 2	2010	1
0.68	2.93	0.12	1.76	0.37	Action	PS3	Sony Computer Entertainment	inFAMOUS	2009	1
0.53	2.85	0.0	1.98	0.34	Fighting	PS3	Warner Bros. Interactive Entertainment	Mortal Kombat	2011	1
0.55	2.82	0.11	1.87	0.29	Action	PS3	Ubisoft	Assassin's Creed: Brotherhood	2010	1
1.04	2.81	0.07	1.28	0.42	Shooter	PS3	Electronic Arts	Medal of Honor	2010	1
1.46	2.81	0.06	0.71	0.58	Racing	PS3	Electronic Arts	Need for Speed: Most Wanted	2012	1
0.86	2.79	0.09	1.46	0.38	Shooter	PS3	Sony Computer Entertainment	Killzone 3	2011	1
1.23	2.78	0.03	1.05	0.47	Racing	PS3	Electronic Arts	Need for Speed: Hot Pursuit	2010	1
0.97	2.75	0.17	1.2	0.42	Fighting	PS3	Namco Bandai Games	Tekken 6	2009	1
1.85	2.75	0.05	0.43	0.41	Sports	PS3	Electronic Arts	FIFA 16	2015	1
1.4	2.65	0.04	0.69	0.52	Racing	PS3	Electronic Arts	Need for Speed: Shift	2009	1
0.73	2.63	0.89	0.78	0.23	Role-Playing	PS3	Square Enix	Final Fantasy XIII-2	2011	1
0.44	2.6	0.06	1.7	0.4	Action	PS3	Sony Computer Entertainment	God of War Collection	2009	1
1.63	2.59	0.04	0.49	0.43	Sports	PS3	Electronic Arts	FIFA Soccer 09	2008	1
0.22	2.57	0.0	2.12	0.23	Sports	PS3	Electronic Arts	Madden NFL 13	2012	1
1.1	2.56	0.08	0.93	0.45	Platform	PS3	Sony Computer Entertainment	Ratchet & Clank Future: Tools of Destruction	2007	1
0.43	2.48	0.05	1.73	0.27	Sports	PS3	Take-Two Interactive	NBA 2K13	2012	1
0.53	2.47	0.05	1.57	0.31	Racing	PS3	Take-Two Interactive	Midnight Club: Los Angeles	2008	1
1.04	2.47	0.18	0.86	0.38	Action	PS3	THQ	Saints Row: The Third	2011	1
0.84	2.47	0.1	1.15	0.38	Shooter	PS3	Sony Computer Entertainment	Resistance 2	2008	1
1.26	2.42	0.08	0.6	0.48	Action	PS3	Square Enix	Tomb Raider (2013)	2013	1
1.17	2.41	0.54	0.29	0.41	Sports	PS3	Konami Digital Entertainment	pro evolution soccer 2011	2010	1
0.15	2.39	0.0	2.05	0.2	Sports	PS3	Electronic Arts	Madden NFL 11	2010	1
0.13	2.37	0.0	2.03	0.21	Sports	PS3	Electronic Arts	Madden NFL 10	2009	1
0.8	2.3	0.04	1.08	0.38	Action	PS3	Warner Bros. Interactive Entertainment	Batman: Arkham Origins	2013	1
0.91	2.3	0.0	1.02	0.36	Action	PS3	LucasArts	LEGO Star Wars: The Complete Saga	2007	1
0.61	2.29	0.0	1.36	0.32	Misc	PS3	Sega	Sonic's Ultimate Genesis Collection	2009	1
1.27	2.28	0.46	0.3	0.26	Sports	PS3	Konami Digital Entertainment	Pro Evolution Soccer 2010	2009	1
0.73	2.27	0.15	1.08	0.31	Action	PS3	Deep Silver	Dead Island	2011	1
0.15	2.25	0.0	1.93	0.17	Sports	PS3	Electronic Arts	Madden NFL 12	2011	1
0.64	2.25	0.04	1.23	0.35	Action	PS3	Sony Computer Entertainment	God of War: Ascension	2013	1
0.53	2.25	0.02	1.4	0.3	Misc	PS3	Activision	Guitar Hero III: Legends of Rock	2007	1
0.73	2.24	0.1	1.06	0.36	Shooter	PS3	Take-Two Interactive	Borderlands 2	2012	1
0.85	2.21	0.0	1.01	0.35	Action	PS3	LucasArts	Star Wars: The Force Unleashed	2008	1
0.97	2.19	0.55	0.34	0.33	Action	PS3	Konami Digital Entertainment	Pro Evolution Soccer 2012	2011	1
1.05	2.15	0.07	0.59	0.44	Action	PS3	Square Enix	Hitman: Absolution	2012	1
0.26	2.12	0.05	1.62	0.18	Sports	PS3	Take-Two Interactive	NBA 2K12	2011	1
0.31	2.12	0.04	1.45	0.32	Sports	PS3	Take-Two Interactive	NBA 2K14	2013	1
0.6	2.12	0.0	1.22	0.29	Shooter	PS3	Take-Two Interactive	Borderlands	2009	1
1.33	2.11	0.4	0.11	0.26	Sports	PS3	Konami Digital Entertainment	PES 2009: Pro Evolution Soccer	2008	1
0.96	2.07	0.13	0.61	0.36	Action	PS3	Take-Two Interactive	Ghostbusters: The Video Game (DS Version)	2010	1
1.0	2.05	0.05	0.63	0.38	Racing	PS3	Electronic Arts	Need For Speed: Undercover	2008	1
0.91	2.04	0.04	0.73	0.36	Racing	PS3	Electronic Arts	Need for Speed: ProStreet	2007	1
0.51	2.02	0.54	0.75	0.22	Role-Playing	PS3	Namco Bandai Games	Dark Souls	2011	1
0.28	2.02	0.0	1.51	0.23	Fighting	PS3	Midway Games	Mortal Kombat vs. DC Universe	2008	1
1.04	2.01	0.03	0.58	0.36	Action	PS3	Electronic Arts	Need for Speed: The Run	2011	1
0.9	2.0	0.0	0.79	0.32	Sports	PS3	Electronic Arts	Skate 3	2010	1
0.66	2.0	0.0	1.05	0.29	Action	PS3	Electronic Arts	Dead Space	2008	1
0.89	1.94	0.02	0.73	0.3	Simulation	PS3	Electronic Arts	The Sims 3	2010	1
0.63	1.94	0.02	1.01	0.29	Racing	PS3	Electronic Arts	Burnout Paradise	2008	1
0.93	1.94	0.07	0.63	0.3	Shooter	PS3	Activision	Call of Duty: Black Ops 3	2015	1
0.75	1.93	0.16	0.73	0.29	Role-Playing	PS3	Activision	Diablo III	2013	1
0.55	1.92	0.0	1.1	0.27	Misc	PS3	Activision	Guitar Hero: World Tour	2008	1
0.15	1.88	0.0	1.56	0.18	Sports	PS3	Electronic Arts	Madden NFL 09	2008	1
0.03	1.88	0.0	1.61	0.24	Sports	PS3	Electronic Arts	Madden NFL 25	2013	1
0.54	1.88	0.03	1.05	0.26	Platform	PS3	Sony Computer Entertainment	Ratchet & Clank Future: A Crack in Time	2009	1
0.79	1.87	0.01	0.77	0.3	Action	PS3	Warner Bros. Interactive Entertainment	LEGO Marvel Super Heroes	2013	1
0.89	1.85	0.06	0.59	0.3	Shooter	PS3	Take-Two Interactive	Max Payne 3	2012	1
0.47	1.82	0.08	1.05	0.22	Action	PS3	Sony Computer Entertainment	inFAMOUS 2	2011	1
0.33	1.82	0.35	0.97	0.17	Role-Playing	PS3	Namco Bandai Games	Demon's Souls	2009	1
0.2	1.8	0.03	1.41	0.16	Action	PS3	Take-Two Interactive	NBA 2K11	2010	1
0.36	1.77	0.25	0.91	0.25	Role-Playing	PS3	Square Enix	Kingdom Hearts	2013	1
0.44	1.76	0.01	1.07	0.24	Fighting	PS3	THQ	UFC 2009 Undisputed	2009	1
0.82	1.76	0.1	0.56	0.27	Action	PS3	Ubisoft	Watch Dogs	2014	1
0.92	1.75	0.06	0.45	0.32	Action	PS3	Square Enix	Just Cause 2	2010	1
1.07	1.75	0.02	0.35	0.31	Sports	PS3	Electronic Arts	FIFA Soccer 08	2007	1
0.44	1.74	0.72	0.41	0.17	Role-Playing	PS3	Capcom	Dragon's Dogma	2012	1
0.65	1.71	0.04	0.73	0.28	Shooter	PS3	Take-Two Interactive	BioShock Infinite	2013	1
0.6	1.7	0.02	0.83	0.24	Shooter	PS3	Valve	Portal 2	2011	1
0.54	1.68	0.02	0.88	0.25	Action	PS3	THQ	Saints Row 2	2008	1
0.42	1.67	0.08	0.96	0.21	Role-Playing	PS3	Electronic Arts	Dragon Age: Origins	2009	1
0.58	1.67	0.01	0.81	0.26	Fighting	PS3	Electronic Arts	Fight Night Round 3	2006	1
0.72	1.65	0.06	0.57	0.29	Action	PS3	Sony Computer Entertainment	Heavenly Sword	2007	1
0.56	1.64	0.13	0.69	0.25	Shooter	PS3	Activision	Destiny	2014	1
0.8	1.63	0.06	0.52	0.26	Adventure	PS3	Sony Computer Entertainment	Beyond: Two Souls	2013	1
1.1	1.59	0.32	0.04	0.13	Sports	PS3	Konami Digital Entertainment	Pro Evolution Soccer 2008	2007	1
0.7	1.58	0.02	0.6	0.26	Platform	PS3	Sega	Sonic Generations	2011	1
0.45	1.58	0.34	0.58	0.2	Action	PS3	Capcom	Devil May Cry 4	2008	1
0.46	1.54	0.02	0.85	0.22	Shooter	PS3	Take-Two Interactive	BioShock 2	2010	1
0.63	1.53	0.49	0.18	0.24	Sports	PS3	Konami Digital Entertainment	Pro Evolution Soccer 2013	2012	1
0.52	1.53	0.04	0.72	0.25	Action	PS3	Bethesda Softworks	Dishonored	2012	1
0.4	1.52	0.0	0.92	0.2	Fighting	PS3	Electronic Arts	Fight Night Round 4	2009	1
0.47	1.51	0.21	0.6	0.23	Role-Playing	PS3	Namco Bandai Games	Ni no Kuni: Wrath of the White Witch	2011	1
0.62	1.51	0.03	0.6	0.26	Shooter	PS3	Activision	Call of Duty 3	2006	1
0.49	1.5	0.0	0.8	0.21	Action	PS3	LucasArts	Star Wars: The Force Unleashed II	2010	1
0.2	1.49	0.0	1.13	0.16	Misc	PS3	MTV Games	Rock Band 2	2008	1
0.11	1.49	0.0	1.11	0.28	Sports	PS3	Electronic Arts	Madden NFL 15	2014	1
0.69	1.49	0.04	0.5	0.26	Action	PS3	Take-Two Interactive	Mafia II	2010	1
0.57	1.48	0.05	0.64	0.22	Shooter	PS3	Sony Computer Entertainment	Resistance 3	2011	1
0.4	1.46	0.14	0.72	0.2	Fighting	PS3	Ubisoft	SoulCalibur IV	2008	1
0.45	1.45	0.03	0.78	0.19	Role-Playing	PS3	Electronic Arts	Mass Effect 2	2011	1
0.57	1.43	0.03	0.64	0.2	Role-Playing	PS3	Electronic Arts	Mass Effect 3	2012	1
0.37	1.43	0.44	0.46	0.16	Action	PS3	Konami Digital Entertainment	Metal Gear Rising: Revengeance	2013	1
0.62	1.42	0.06	0.49	0.26	Action	PS3	Electronic Arts	Medal of Honor: Warfighter	2012	1
0.47	1.42	0.01	0.75	0.2	Shooter	PS3	Take-Two Interactive	BioShock	2008	1
0.48	1.42	0.0	0.73	0.21	Shooter	PS3	Electronic Arts	Dead Space 2	2011	1
0.4	1.41	0.02	0.8	0.18	Fighting	PS3	THQ	UFC Undisputed 2010	2010	1
0.69	1.38	0.01	0.43	0.26	Action	PS3	Ubisoft	Far Cry 2	2008	1
0.59	1.37	0.07	0.5	0.22	Shooter	PS3	Square Enix	Deus Ex: Human Revolution	2011	1
0.57	1.37	0.15	0.43	0.21	Action	PS3	Capcom	Dead Rising 2	2010	1
0.7	1.36	0.16	0.24	0.26	Racing	PS3	Namco Bandai Games	Ridge Racer 7	2006	1
0.6	1.36	0.0	0.51	0.25	Action	PS3	THQ	WWE '13	2012	1
0.65	1.35	0.02	0.43	0.25	Racing	PS3	Sony Computer Entertainment	MotorStorm: Pacific Rift	2008	1
0.22	1.35	0.02	0.88	0.24	Sports	PS3	Take-Two Interactive	NBA 2K15	2014	1
0.44	1.34	0.04	0.66	0.21	Shooter	PS3	Ubisoft	Tom Clancy's Rainbow Six: Vegas 2	2008	1
0.28	1.34	0.11	0.81	0.14	Fighting	PS3	Capcom	Marvel vs. Capcom 3: Fate of Two Worlds	2011	1
0.75	1.34	0.08	0.25	0.26	Racing	PS3	Codemasters	F1 2010	2010	1
0.35	1.34	0.05	0.76	0.18	Shooter	PS3	Electronic Arts	Battlefield: Bad Company	2008	1
0.49	1.33	0.01	0.62	0.2	Fighting	PS3	THQ	WWE SmackDown vs Raw 2008	2007	1
0.69	1.33	0.09	0.35	0.2	Shooter	PS3	Ubisoft	Far Cry 4	2014	1
0.56	1.32	0.0	0.55	0.21	Action	PS3	Warner Bros. Interactive Entertainment	LEGO Harry Potter: Years 1-4	2010	1
0.35	1.32	0.13	0.67	0.17	Adventure	PS3	Sony Computer Entertainment	The ICO & Shadow of the Colossus Collection	2011	1
0.3	1.31	0.09	0.77	0.16	Shooter	PS3	Sony Computer Entertainment	MAG: Massive Action Game	2010	1
0.58	1.31	0.06	0.47	0.2	Shooter	PS3	Bethesda Softworks	Rage	2011	1
0.56	1.31	0.06	0.47	0.22	Action	PS3	Electronic Arts	Crysis 2	2011	1
0.95	1.3	0.04	0.12	0.19	Sports	PS3	Electronic Arts	FIFA 17	2016	1
0.57	1.3	0.07	0.46	0.2	Action	PS3	Ubisoft	Assassin's Creed: Rogue	2014	1
0.39	1.3	0.0	0.72	0.19	Action	PS3	Warner Bros. Interactive Entertainment	LEGO Batman: The Videogame	2008	1
0.33	1.29	0.41	0.41	0.15	Role-Playing	PS3	Namco Bandai Games	Dark Souls II	2014	1
0.41	1.27	0.09	0.57	0.2	Action	PS3	Deep Silver	Saints Row IV	2013	1
0.36	1.27	0.32	0.43	0.16	Role-Playing	PS3	Square Enix	Final Fantasy X / X-2 HD Remaster	2013	1
0.19	1.27	0.24	0.71	0.13	Role-Playing	PS3	Sega	Valkyria Chronicles	2008	1
0.69	1.27	0.05	0.33	0.19	Racing	PS3	Electronic Arts	Need for Speed Rivals	2013	1
0.55	1.26	0.05	0.45	0.22	Action	PS3	Eidos Interactive	Tomb Raider: Underworld	2008	1
0.36	1.25	0.19	0.52	0.18	Role-Playing	PS3	Square Enix	Kingdom Hearts II	2014	1
0.17	1.25	0.02	0.94	0.13	Shooter	PS3	Sony Computer Entertainment	SOCOM: U.S. Navy SEALs Confrontation	2008	1
0.53	1.25	0.03	0.47	0.22	Shooter	PS3	Ubisoft	Tom Clancy's Rainbow Six: Vegas	2007	1
0.89	1.25	0.0	0.13	0.23	Sports	PS3	Electronic Arts	FIFA Street	2012	1
0.4	1.24	0.0	0.65	0.19	Action	PS3	Activision	[Prototype]	2009	1
0.5	1.23	0.03	0.49	0.2	Racing	PS3	Electronic Arts	Need for Speed Carbon	2006	1
0.64	1.23	0.07	0.3	0.22	Sports	PS3	Electronic Arts	2010 FIFA World Cup South Africa	2010	1
0.18	1.23	0.67	0.29	0.09	Role-Playing	PS3	Namco Bandai Games	Tales of Xillia	2011	1
0.46	1.21	0.15	0.42	0.18	Fighting	PS3	Namco Bandai Games	Naruto Shippuden: Ultimate Ninja Storm 2	2010	1
0.69	1.21	0.03	0.25	0.25	Shooter	PS3	Electronic Arts	Medal of Honor: Airborne	2007	1
0.39	1.21	0.21	0.44	0.16	Action	PS3	Sega	Bayonetta	2009	1
0.51	1.21	0.0	0.5	0.2	Action	PS3	Warner Bros. Interactive Entertainment	LEGO Batman 2: DC Super Heroes	2012	1
0.74	1.2	0.11	0.12	0.24	Racing	PS3	Codemasters	F1 2011	2011	1
0.5	1.2	0.01	0.49	0.2	Fighting	PS3	Warner Bros. Interactive Entertainment	Injustice: Gods Among Us	2013	1
0.23	1.18	0.86	0.01	0.08	Action	PS3	Namco Bandai Games	One Piece: Pirate Warriors	2012	1
0.24	1.17	0.36	0.48	0.1	Action	PS3	Capcom	Resident Evil: Operation Raccoon City	2012	1
0.45	1.17	0.02	0.53	0.17	Fighting	PS3	THQ	WWE '12	2011	1
0.48	1.17	0.01	0.48	0.2	Fighting	PS3	THQ	WWE SmackDown vs. Raw 2010	2009	1
0.26	1.17	0.02	0.74	0.15	Shooter	PS3	Electronic Arts	Army of Two	2008	1
0.46	1.17	0.0	0.52	0.19	Action	PS3	LucasArts	LEGO Star Wars III: The Clone Wars	2011	1
0.06	1.16	0.04	0.41	0.66	Platform	PS3	Sega	Sonic the Hedgehog	2006	1
0.45	1.16	0.06	0.46	0.18	Action	PS3	Take-Two Interactive	Red Dead Redemption: Undead Nightmare	2010	1
0.32	1.14	0.09	0.57	0.16	Action	PS3	Eidos Interactive	Ninja Gaiden Sigma	2007	1
0.51	1.14	0.02	0.43	0.19	Action	PS3	Activision	007: Quantum of Solace	2008	1
0.46	1.14	0.0	0.49	0.19	Sports	PS3	Take-Two Interactive	WWE 2K14	2013	1
0.03	1.14	0.76	0.31	0.04	Sports	PS3	Sony Computer Entertainment	Hot Shots Golf: Out of Bounds	2007	1
0.22	1.14	0.05	0.75	0.12	Platform	PS3	Sony Computer Entertainment	Ratchet & Clank: All 4 One	2011	1
0.36	1.13	0.09	0.53	0.15	Misc	PS3	Ubisoft	Rocksmith	2011	1
0.58	1.13	0.02	0.31	0.22	Platform	PS3	Electronic Arts	Mirror's Edge	2008	1
0.56	1.13	0.0	0.45	0.12	Misc	PS3	Sony Computer Entertainment	SingStar	2007	1
0.4	1.12	0.06	0.5	0.16	Racing	PS3	Sony Computer Entertainment	ModNation Racers	2010	1
0.2	1.12	0.62	0.21	0.08	Action	PS3	Sega	Yakuza 3	2009	1
0.29	1.12	0.0	0.67	0.15	Misc	PS3	MTV Games	The Beatles: Rock Band	2009	1
0.3	1.11	0.28	0.39	0.14	Role-Playing	PS3	Square Enix	Final Fantasy XIV: A Realm Reborn	2013	1
0.49	1.11	0.0	0.45	0.18	Fighting	PS3	Electronic Arts	Fight Night Champion	2011	1
0.35	1.1	0.1	0.5	0.15	Action	PS3	Konami Digital Entertainment	Castlevania: Lords of Shadow	2010	1
0.43	1.1	0.0	0.52	0.15	Simulation	PS3	Konami Digital Entertainment	Omerta: City of Gangsters	2011	1
0.56	1.1	0.03	0.31	0.2	Racing	PS3	Codemasters	GRID	2008	1
0.39	1.09	0.0	0.53	0.17	Misc	PS3	Activision	Guitar Hero 5	2009	1
0.46	1.09	0.01	0.44	0.18	Fighting	PS3	THQ	WWE SmackDown vs. Raw 2011	2010	1
0.4	1.08	0.0	0.51	0.17	Action	PS3	Disney Interactive Studios	Toy Story 3: The Video Game	2010	1
0.52	1.08	0.08	0.29	0.2	Fighting	PS3	Sega	Virtua Fighter 5	2007	1
0.28	1.08	0.04	0.64	0.13	Action	PS3	Electronic Arts	Dante's Inferno	2010	1
0.4	1.07	0.03	0.47	0.17	Action	PS3	Ubisoft	Prince of Persia	2008	1
0.49	1.07	0.0	0.37	0.2	Action	PS3	Activision	Skylanders Giants	2012	1
0.2	1.07	0.45	0.31	0.11	Role-Playing	PS3	Square Enix	Lightning Returns: Final Fantasy XIII	2013	1
0.34	1.07	0.09	0.49	0.15	Fighting	PS3	Namco Bandai Games	Naruto: Ultimate Ninja Storm	2008	1
0.58	1.06	0.0	0.28	0.21	Shooter	PS3	Electronic Arts	The Orange Box	2007	1
0.49	1.06	0.0	0.37	0.19	Action	PS3	Warner Bros. Interactive Entertainment	LEGO The Lord of the Rings	2012	1
0.39	1.06	0.0	0.49	0.17	Simulation	PS3	Sony Computer Entertainment	Warhawk	2007	1
0.57	1.06	0.01	0.27	0.2	Racing	PS3	Codemasters	DiRT 3	2011	1
0.66	1.05	0.0	0.16	0.23	Racing	PS3	Codemasters	DiRT	2007	1
0.58	1.05	0.03	0.23	0.21	Sports	PS3	Sega	Virtua Tennis 3	2007	1
0.49	1.04	0.05	0.31	0.19	Action	PS3	Square Enix	Sleeping Dogs	2012	1
0.46	1.04	0.0	0.41	0.18	Shooter	PS3	Sega	Aliens vs Predator	2010	1
0.63	1.04	0.05	0.12	0.23	Racing	PS3	Codemasters	F1 2012	2012	1
0.42	1.03	0.0	0.45	0.17	Platform	PS3	Activision	Skylanders SWAP Force	2013	1
0.32	1.03	0.03	0.55	0.13	Action	PS3	THQ	UFC Undisputed 3	2012	1
0.48	1.03	0.02	0.34	0.19	Shooter	PS3	Ubisoft	Tom Clancy's Ghost Recon Advanced Warfighter 2	2007	1
0.42	1.03	0.0	0.44	0.17	Action	PS3	Activision	LEGO Indiana Jones: The Original Adventures	2008	1
0.32	1.02	0.01	0.56	0.14	Platform	PS3	Sega	Sonic Unleashed	2008	1
0.34	1.01	0.0	0.5	0.17	Action	PS3	Disney Interactive Studios	Disney Infinity 2.0: Marvel Super Heroes	2014	1
0.32	1.01	0.0	0.52	0.17	Action	PS3	Disney Interactive Studios	Disney Infinity	2013	1
0.52	1.01	0.04	0.36	0.09	Simulation	PS3	Sony Computer Entertainment	EyePet	2009	1
0.24	1.01	0.05	0.55	0.16	Misc	PS3	Ubisoft	Rocksmith 2014	2013	1
0.49	1.0	0.01	0.33	0.17	Platform	PS3	Ubisoft	Rayman Origins	2011	1
0.33	0.99	0.02	0.49	0.15	Shooter	PS3	Ubisoft	Haze	2008	0
0.52	0.99	0.0	0.27	0.19	Racing	PS3	Codemasters	DiRT 2	2009	0
0.15	0.99	0.0	0.73	0.11	Misc	PS3	Activision	Guitar Hero: Aerosmith	2008	0
0.18	0.99	0.45	0.28	0.07	Role-Playing	PS3	Namco Bandai Games	Tales of Graces f	2010	0
0.36	0.98	0.0	0.45	0.16	Action	PS3	Electronic Arts	Dead Space 3	2013	0
0.01	0.97	0.0	0.89	0.08	Sports	PS3	Electronic Arts	Madden NFL 08	2007	0
0.38	0.96	0.06	0.38	0.14	Shooter	PS3	505 Games	Sniper Elite V2	2012	0
0.45	0.95	0.03	0.33	0.15	Action	PS3	Warner Bros. Interactive Entertainment	The LEGO Movie Videogame	2014	0
0.41	0.95	0.51	0.03	0.0	Action	PS3	Konami Digital Entertainment	Pro Evolution Soccer 2014	2013	0
0.27	0.95	0.04	0.5	0.15	Action	PS3	Sony Computer Entertainment	PlayStation All-Stars Battle Royale	2012	0
0.32	0.95	0.09	0.41	0.12	Shooter	PS3	Ubisoft	Tom Clancy's Ghost Recon: Future Soldier	2012	0
0.43	0.95	0.0	0.36	0.16	Action	PS3	Disney Interactive Studios	LEGO Pirates of the Caribbean: The Video Game	2011	0
0.52	0.95	0.01	0.24	0.18	Racing	PS3	Ubisoft	Driver: San Francisco	2011	0
0.43	0.95	0.0	0.36	0.16	Racing	PS3	Sega	Sonic & Sega All-Stars Racing	2010	0
0.4	0.95	0.06	0.34	0.16	Action	PS3	Ubisoft	Tom Clancy's Splinter Cell: Blacklist	2013	0
0.33	0.95	0.2	0.29	0.13	Shooter	PS3	Capcom	Lost Planet 2	2010	0
0.16	0.95	0.36	0.34	0.09	Role-Playing	PS3	Sony Computer Entertainment	White Knight Chronicles: International Edition	2008	0
0.39	0.94	0.0	0.39	0.16	Action	PS3	Activision	Skylanders: Spyro's Adventure	2011	0
0.34	0.94	0.0	0.45	0.15	Shooter	PS3	Ubisoft	Brothers in Arms: Hell's Highway	2008	0
